1255 Hempstead Turnpike,Long Island,NY,40.719521,-73.589096,11553
735 Anderson Hill Rd,Purchase,NY,41.038799,-73.695745,10577
452 North Ave,New Rochelle,NY,40.917898,-73.785996,10801
93-40 Sutphin Blvd,Jamaica,NY,40.700380,-73.807665,11435
1276 Lexington Ave.,New York,NY,40.779377,-73.955667,10028
162 72nd Street,New York,NY,40.776285,-73.976105,10105
47 East 42nd St.,New York,NY,40.752698,-73.979021,10017
761 7th Avenue,New York,NY,40.761100,-73.983259,10019
1021 6th Ave,Manhattan,NY,40.752343,-73.985925,10018
750 9th Avenue,New York,NY,40.763784,-73.988731,10019
253 W 42nd St,New York,NY,40.756816,-73.988762,10036
152 West 34th Streeet,New York,NY,40.750508,-73.989479,10001
34 East Union Square,New York,NY,40.735724,-73.989139,10025
401 7th Avenue,New York,NY,40.749733,-73.991536,10001
2 Penn Plaza,New York,NY,40.749560,-73.991661,10121
1 Penn Plaza,New York,NY,40.749413,-73.991886,10119
2 Penn Plaza,New York,NY,40.750600,-73.996600,10121
381 Hamilton Street,Geneva,NY,40.495902,-74.461191,14456
2765 State Route 23,Stockholm,NJ,41.090500,-74.522300,7460
1100 Pattison Avenue ,Philadelphia,PA,39.904643,-75.167855,19148
3601 S. Broad Street,Philadelphia,PA,39.904272,-75.171332,19148
106 New Scotland Ave,Albany,NY,42.652610,-73.778500,12208
1174 Mt Cobb Rd,Lake Ariel,PA,41.409320,-75.505990,18436
1400 Washington Ave,Albany,NY,42.689741,-73.820390,12222
1028 Main St.,Hobart,NY,42.371484,-74.670907,13786
54 Elm St.,Delhi,NY,42.275146,-74.917243,13753
494 West Main Street,Hancock,NY,41.956423,-75.293473,13783
1308 E Main St,Endicott,NY,41.956423,-75.293473,13760
15863 St Hwy 23,Davenport,NY,42.470070,-74.847590,13750
225 Highland Park Blvd ,Hanover Township,PA,41.238095,-75.853572,18702
360 St Hwy 10,Deposit,NY,42.060083,-75.427677,13754
4968 State Highway 23,Oneonta,NY,42.448635,-75.036947,13820
570 Main St.,Oneonta,NY,42.456879,-75.039268,13820
195 County RT 48,Otego,NY,42.384846,-75.173565,13825
169 Oneida St,Oneonta,NY,42.444890,-75.106730,13820
4102 State Highway 23,West Oneonta,NY,42.470608,-75.108289,13861
180 Main St.,Unadilla,NY,42.321567,-75.330114,13849
1 West Main St.,Sidney,NY,42.313034,-75.389803,13838
112 Delaware Avenue,Sidney,NY,42.301297,-75.407925,13838
25106 State Route 11,Hallstead,PA,41.960830,-75.743351,18822
5 Commons Dr. Rte 28,Cooperstown,NY,42.649856,-74.962977,13326
49 Genesee St.,Cherry Valley,NY,42.797116,-74.754483,13320
4192 State Highway 30,Amsterdam,NY,43.017368,-74.193760,12010
3622 NYS Rt 79,Harpursville ,NY,42.182684,-75.632209,13787
1178 Vestal Ave.,Binghamton,NY,42.088924,-75.914416,13903
10 North Canal St.,Oxford,NY,42.442865,-75.596773,13830
Building 421,Dover,DE,39.118687,-75.456605,19902
5 Kattelville Rd.,Chenango Bridge,NY,42.169179,-75.873247,13745
1232 Upper Front St.,Binghamton,NY,42.154846,-75.896266,13905
4839 State Highway 23,Norwich,NY,42.540086,-75.507917,13815
54 East Main St,Norwich,NY,42.531530,-75.520230,13815
3300 Old Vestal Road,Vestal ,NY,42.130151,-75.993168,13851
1166 Castle Creek Rd,Castle Creek,NY,42.229429,-75.919059,13744
1 E Main St. West,Winfield,NY,42.885792,-75.187084,13491
84 North Main Street,Sherburne,NY,42.683911,-75.501639,1360
Aberdeen Proving Grounds G Bldg 6002,Aberdeen,MD,39.458760,-76.112036,21005
1145 Rt 17C,Owego,NY,42.098775,-76.235252,13827
6008 Jayhawk Rd. Bldg 6008,Aberdeen,MD,39.475097,-76.140110,21055
Brandford Town Centre RR Box 6035,Towanda,PA,41.753700,-76.477600,18848
977 RT 79,Richford,NY,42.360790,-76.210710,13835
448 North Keystone Ave.,Sayre,PA,41.992659,-76.529154,18840
3014 Elmira Street,Sayre,PA,41.991850,-76.547750,18810
141 Clinton Avenue,Cortland,NY,42.606319,-76.168170,13045
87 E State St,Sherrill,NY,43.075468,-75.593959,13461
3932 State Route 281,Cortland,NY,42.597277,-76.205164,13045
71 Nelson St,Cazenovia,NY,42.926554,-75.842545,13035
595 Elmira St,Troy,PA,41.790228,-76.778765,16947
217 Erie Blvd,Rome,NY,43.211288,-75.460513,14738
Rt 5 & Oxbow Rd,Canastota,NY,43.069730,-75.752140,13032
"Robert Trent Jones Golf Course, 213 Warren Rd",Ithaca,NY,42.457021,-76.468486,14850
710 South Meadow Street,Ithaca,NY,42.432057,-76.508021,14850
710 South Meadow St,Ithaca,NY,42.432490,-76.508060,14850
407 Elmira Rd.,Ithaca,NY,42.419372,-76.520332,14850
600 North Fulton St.,Ithaca College,NY,42.445200,-76.509222,14850
2300 Triphammer Road,Ithaca,NY,42.482922,-76.485161,14850
1600 Cedar Street,Elmira,NY,42.057990,-76.794240,14904
800 W Genesee St,Chittenango,NY,43.047080,-75.893650,13037
299 S. Main Street,Elmira,NY,42.082452,-76.804840,14904
299 South Main Street,Elmira,NY,42.082452,-76.804840,14904
199 W Seneca St,Manilus,NY,42.997032,-75.987034,13104
5351 N Burdick St,Fayetteville,NY,43.030350,-76.016879,13066
830 Consumer Square Plaza,Elmira,NY,42.130000,-76.852800,14903
4600 East Genesee St.,DeWitt,NY,43.034439,-76.064371,13214
4410 E Genesee St,De Witt,NY,43.035255,-76.067585,13214
7043 Manlius Center Road,East Syracuse,NY,43.062411,-76.035668,13057
3439 Erie Blvd. ,Dewitt,NY,43.046255,-76.067944,13214
